network_type,device_os,platform,bearer_type,geo_coordinates,is_roaming,phone_number,device_type,user_id,msisdn,event_time,action,os_type,os_version,cell_location,transaction_id,event_name,is_fraud,event_type,event_id,terminal_model,tracking_id,home_network,session_id,service_action,connection_type,timestamp,position,access_technology,subscriber_id,roaming_active,device_model,handset,roaming_status,location,log_time,recorded_at
,,,,,False,,,,7676018216886,01/10/2023 18:10:58,SIM switch,iOS 15,,,1642b4fd-6dfd-4b7e-bcc9-1b32e72187a4,,False,,,,,,,,,,"9.4148,-152.9470",4G,,,,Samsung Galaxy S22,,,,
,,,4G,"57.8725,-152.1459",,,,2203112831212,,,,,iOS 16,,,,False,location_change,,,90447c3a-3035-431e-aed9-e2a3c7f9c370,,,,,08/08/2023 23:53:41,,,,True,,iPhone 14,,,,
,,,,,,,,,,,,,Android 11,,,power_on,False,,742547c5-69bc-4a86-b89d-04b1f9e2f71c,Oppo F21,,,,,5G,,"-82.5819,-51.2067",,6646222953497,,,,True,,23/01/2023 08:09:53,
,,,,,,5891037116345,,,,,,,Android 11,"-34.3190,-162.8272",,,False,location_change,,,b4c8200c-3297-4993-b301-b60df05052f6,,,,,,,2G,,,Pixel 6,,True,,19/11/2023 09:14:29,
3G,Android 11,,,,True,,,,2040159043380,,power_on,,,,cdec0c9d-d6d8-4675-a054-fe216b8801bc,,False,,,,,,,,,,"-70.9314,78.0439",,,,iPhone 14,,,,08/27/2023 17:35:45,
5G,,,,"-15.0706,52.7135",True,,,1887076110960,,,,Android 12,,,,app_launch,False,,,,,,d23639ee-1b0d-42e7-8932-788b869b284a,,,03/06/2023 10:06:46,,,,,,Pixel 6,,,,
,,,,,,,,,,30/04/2023 09:16:40,,,,,,app_launch,False,,39f3addf-8a1c-4527-ac16-f96b5aea5cba,Pixel 7,,,,,5G,,,,3738263959960,True,,,,"39.9973,-36.2279",,
,,,,,,,,3362620964227,,,SIM switch,Android 12,,"-11.6118,-112.7243",5443d3ca-ab0c-42b0-a3ba-2d63d97b4b07,,True,,,iPhone 13,,,,,5G,,,,,True,,,,,2023-11-02T04:22:54.000Z,
,iOS 15,,,"37.9610,104.2831",False,,Xiaomi Mi 11,3841351955491,,1691393392,,,,,,,False,,b03a70a9-3c74-40de-9e70-2e0af53c3759,,,,,app_launch,,,,5G,,,,,,,,
3G,,,,,,,,,7832245845085,,,Android 12,,,,,False,,749c50bc-f7d3-4049-b840-0cb462f73e58,,,,,power_on,,,,,,False,,Realme GT,,"33.0864,49.3079",19/07/2023 12:58:18,
5G,,,,,True,,OnePlus 10,5180895060358,,,,Android 13,,,,,False,,,,9f744e73-9fa7-4a37-8f67-bbaa9e61d6c7,,,power_on,,,,,,,,,,"38.4706,-175.3436",,1702460668
,,,,"62.8275,155.1900",,,Pixel 7,9271721866087,,15/01/2023 03:21:01,location_change,Android 12,,,ad4e37a6-88d5-4a97-8602-39f3a7852a35,,False,,,,,,,,5G,,,,,,,,False,,,
,,iOS 15,,,,,Oppo F21,9911200306843,,,app_launch,,,"76.5868,-144.7280",,,False,,,,,False,,,,,,4G,,,,,,,,2023-04-05 03:32:57
,,,,,,4451141276875,,,,,,,Android 13,,b2c100fc-8e5f-4b20-8aec-1a6475a0dcda,power_on,True,,,,,False,,,,1686489424,,WiFi,,,Realme GT,,,"-58.2510,115.6936",,
,,,,,,,,,,,app_launch,iOS 15,,,,,False,,,,,,,,,,,4G,9627172275525,False,,,,"-71.0365,-160.2772",02/04/2023 01:08:31,
,,,,,,2409977261337,,,,,,,Android 11,,,,False,,,Realme GT,9945de9c-569f-4448-9442-d456549e9d96,False,,app_launch,WiFi,,"-62.3871,-69.1161",,,,,,,,,2023-03-04T03:24:04.000Z
,,,,,,,Pixel 7,,7058120197046,,app_launch,,iOS 16,,7b369944-479b-42eb-91aa-9af555b4d340,,False,,,,,False,,,,,"-72.1641,130.4471",,,,,,,,1690799171,
,,,,,,,,,5922311916881,2023-04-25T07:09:44.000Z,,Android 13,,"27.2627,167.9126",4e8011c6-3263-43cd-a2b8-adc9220142dc,,False,location_change,,Pixel 7,,,,,,,,5G,,,,,False,,,
,Android 12,,5G,,,,,,,,,,,,,power_on,True,,,,,,b7791baf-29aa-43f5-8cab-aeac31a4615c,,,,"-52.3895,31.6589",,3189771792233,,,iPhone 14,True,,1691316913,
,,Android 11,,,,,iPhone 13,,,,location_change,,,"-26.4974,-102.4234",,,False,,646d0158-e0bd-4c52-8f3a-60cadbc5c535,,,,,,,,,2G,8574795730921,,,,True,,,2023-05-13 13:51:42
,,,2G,,,5516445502699,,,,,,,Android 12,,,location_change,False,,,,b7ed42c0-9473-410b-a439-fe967d1271d2,,,,,1703520546,,,,True,iPhone 14,,,"86.6669,46.5033",,
,iOS 15,,,"65.6864,-135.3878",False,,,,2797795874888,2023-07-07T18:26:18.000Z,,,,,5dd910d3-a90e-4fca-b996-975c157bd6ee,location_change,False,,,,,,,,,,,WiFi,,,Pixel 6,,,,,
,,,,,,,,8875187794415,,,,iOS 16,,"89.0670,-1.9732",ff7f85fb-3d77-425d-ae59-72f25a622217,power_on,False,,,OnePlus 10,,,,,,,,5G,,,,,False,,2023-08-24 01:19:02,
,,,3G,"-68.7378,-178.4589",,,,,9399820144698,2023-08-17T16:47:42.000Z,,iOS 15,,,,location_change,False,,,,191b58cd-588e-45bb-9638-75b30756ad9e,True,,,,,,,,,,OnePlus 10,,,,
,,,2G,"-24.2439,-43.9089",,5941207981704,,,,,app_launch,,Android 13,,7d971729-167e-4a61-bbc7-c29627790d1f,,False,,,Oppo F21,,,,,,,,,,False,,,,,2023-05-01T05:53:27.000Z,
,,Android 12,5G,,,,,,,,,,,"-74.8345,42.8958",3d203ef0-22fb-4281-b781-8e3d46f8ad5c,location_change,False,,,,,,,,,1703858475,,,9642298609290,False,,Samsung Galaxy S22,,,,
,Android 12,,,,,5757540569678,,,,,,,,,,,False,,0bee156f-37e6-4e55-9505-f9f4e3c434ae,Oppo F21,,,,SIM switch,,,,5G,,,,,False,,,09/07/2023 11:50:07
,,,,,,,Pixel 7,,5129793436185,2023-04-17T04:44:07.000Z,,Android 11,,,,,False,,4ac50ac7-2fb5-40de-a264-048a0112638c,,,,,power_on,,,"53.9088,-92.2314",5G,,,,,True,,,
,,,2G,"-47.8382,106.4980",,,,8558106144454,,,SIM switch,,iOS 16,,,,False,,,,,,627089a8-5a01-4415-860a-868a23be5244,,,,,,,False,,Vivo V25,,,12/05/2023 05:42:05,
,,iOS 16,,,,,,6959362562209,,,,,,"-5.5867,118.5484",9c10fc99-6d8c-47f6-8748-3f6d8e159b08,,False,,,Pixel 7,,,,SIM switch,3G,,,,,False,,,,,,05/03/2023 10:33:23
,Android 13,,4G,,True,,Oppo F21,,,,,,,,,,False,power_on,3bbf4ffd-b503-43d4-8c15-e96c10eb6330,,,,,,,,,,4362934265093,,,,,"81.0282,-116.7663",,20/10/2023 23:07:35
,,,,,False,,,,5090011681359,2023-09-14T14:23:26.000Z,,iOS 16,,"-63.7838,80.3555",,,False,app_launch,,OnePlus 10,,,a21cf859-0c08-42f6-866a-daa8fb535a16,,WiFi,,,,,,,,,,,
WiFi,Android 11,,,,,,,,2260542199163,,,,,,98a16ec7-d27c-4e4c-944a-1ea71ee378fe,location_change,False,,,Vivo V25,,,,,,2023-06-21T12:53:07.000Z,,,,,,,True,,,
5G,iOS 16,,,,False,,,,,2023-05-05T22:14:08.000Z,,,,,,,False,,0061cf87-9a70-401f-837d-7f6e05443759,Xiaomi Mi 11,,,,SIM switch,,,"51.6417,-104.7727",,6627653897870,,,,,,,
,,,,,,2792958013446,,,,,,Android 13,,"55.1878,-84.4761",,app_launch,False,,,,,,611d4e58-7668-45c5-899e-88ea93d726d6,,,,,4G,,False,,Pixel 6,,,,01/26/2023 21:54:08
,,Android 13,,,False,,iPhone 13,,,,,,,,,,False,power_on,,,,,eab7322d-a102-4843-b9c8-662286fef346,,WiFi,,,,9497485517568,,,,,"72.7888,17.0013",2023-01-11T06:32:26.000Z,
,,,2G,"62.9061,-118.3732",,,OnePlus 10,,,,,,Android 12,,b4e299ce-d45c-4b08-afab-67b0a76f888e,,False,SIM switch,,,,False,,,,1679242662,,,7025364967497,,,,,,,
,iOS 16,,,,True,,,,9996112697564,11/08/2023 10:06:10,,,,,59993636-e0d4-4599-9a26-b8859a8e48d2,,False,,,,,,,power_on,,,"-16.3822,125.5873",4G,,,Pixel 7,,,,,
,,,WiFi,"-89.7435,39.3071",,,,8404185863688,,,power_on,,Android 12,,,,False,,9c086b1f-97d0-4148-95b8-8ac115876ba4,,,True,,,,28/10/2023 14:25:29,,,,,Realme GT,,,,,
,,,,"-59.9197,144.2963",True,,,8296830300695,,,,,iOS 16,,,,False,,f2adf5b2-80d4-4d03-b370-99fbde66cfec,Pixel 6,,,,power_on,,1682059255,,3G,,,,,,,,
,,Android 11,,,,,,,,,,,,,,,False,SIM switch,,iPhone 13,,,,,3G,,"-8.8005,124.9925",,6843591991267,,,,True,,30/08/2023 21:21:59,
,,Android 13,,"76.4263,-86.8278",,8586560308564,,,,1686792338,power_on,,,,,,False,,de1cf920-0e5a-42ce-82ab-84a137ec5764,Realme GT,,,,,,,,,,,,,True,,,
,,,,,,,,8441842515095,,,,Android 11,,,,,False,,,Realme GT,,,141132d0-c485-4e67-bed3-e91f0083c9b0,location_change,WiFi,19/05/2023 08:39:57,,,,False,,,,"7.1850,176.6636",,
4G,,,,,,6375132104681,,,,,power_on,iOS 15,,,13ce1b01-75c3-4107-85a7-5d5543b4a7ee,,False,,,,,,,,,01/02/2023 17:08:59,,,,,,iPhone 14,True,"-47.2214,84.3132",,
,Android 13,,,,True,3961115193380,,,,,,,,"-59.9127,86.4415",7e931158-bebe-411b-954d-9e3ba8b65b75,SIM switch,False,,,Xiaomi Mi 11,,,,,,1692732653,,5G,,,,,,,,
,,Android 11,,,,2521386830150,,,,,app_launch,,,,,,False,,,Vivo V25,900dbef2-3124-40d8-91e9-cc565d437849,False,,,4G,,,,,,,,,,01/09/2023 12:52:51,
,Android 12,,,,,,,,4805489877394,,,,,,,,False,,,Oppo F21,,,16467d17-bf72-425d-8d7e-8b60d35fe2a6,app_launch,,,,5G,,False,,,,,,2023-07-13 01:00:30
,,,,,False,,Vivo V25,3725650782141,,,,,iOS 16,,7abdb4b4-13aa-4a51-bffb-f04fba89a467,,False,,,,,,,power_on,,1686074283,,,,,,,,,,
,,Android 12,2G,"-39.2603,-43.4967",True,1404351692896,,,,,power_on,,,,,,False,,01fe783b-ea82-4e8c-8434-aab6710b7200,Vivo V25,,,,,,,,,,,,,,,,2023-05-11T12:57:30.000Z
,,,,,,,,4235887800356,,,,,,,,,False,,,Samsung Galaxy S22,,,,location_change,,1688701213,,5G,,,,,True,"-48.9049,-94.6112",,
,,,,,True,6033014107627,iPhone 14,,,09/01/2023 12:53:41,,Android 13,,,,app_launch,False,,2a2fc36e-ea3e-4d59-a3eb-d094fe799455,,,,,,,,,5G,,,,,,"49.2296,25.0395",,
,Android 11,,,,,,,1255550947212,,,,,,,,,False,,,,,,a692f596-4c83-4dee-b5e4-0ca280787be0,location_change,,,,3G,,,,Pixel 6,False,"21.6782,-163.3484",,2023-10-11 23:24:26
,iOS 15,,,,,,Vivo V25,8914761515007,,,,,,,,,False,,,,,,54617e91-1b14-4e2f-b86f-36aef487a73f,,4G,2023-04-18T04:20:18.000Z,"-62.5608,-151.4635",,,False,,,,,,
,,,4G,,,8218545825265,,,,,app_launch,,iOS 15,"-54.8004,63.0637",,,False,,b67a0064-e52f-48c2-9010-27f693dd6eee,OnePlus 10,,,,,,,,,,False,,,,,,09/24/2023 21:18:26
,,,,"77.2314,-84.8485",,,Pixel 6,,2257383037047,11/12/2023 09:00:20,,iOS 16,,,4d7b60de-9370-4a0f-9d78-160b7bd9fe96,,False,,,,,,,location_change,5G,,,,,True,,,,,,
4G,,,,,,1118868113555,,,,08/11/2023 00:54:49,,iOS 15,,,,,False,,,,,-1,5067cf3a-51c6-4d54-a869-f4c1a246fb72,SIM switch,,,,,,,,iPhone 13,,"48.8937,31.5892",,
,,,,,,8223150980510,,,,,location_change,,iOS 16,,,,False,,,,,,5b4afed2-b34a-4a01-a7b4-5df8d1c69c92,,,04/04/2023 16:20:42,,WiFi,,True,,Oppo F21,,"20.4271,160.3291",,
4G,,,,,False,,,,,,,,,,,,False,app_launch,,,,,969b1cc6-a6e0-4445-8ac3-5dcf523f9064,,,,"19.6038,-99.4530",,2817710373917,,,Samsung Galaxy S22,,,,24/09/2023 14:33:43
,,,2G,,,,,1069108390489,,,,Android 12,,,,app_launch,False,,,,2ac38ad1-81c2-45ed-a17a-4221e1745735,,,,,,,,,True,Pixel 6,,,"-39.4442,-37.6721",30/03/2023 20:51:31,
,iOS 15,,,,,,,,1705879501808,01/10/2023 10:43:12,,,,"-26.0056,-39.9916",c09649a6-d86e-4ea4-9f70-562a171f1fcf,,False,location_change,,Samsung Galaxy S22,,,,,,,,,,,,,False,,,
,iOS 15,,,,,,Xiaomi Mi 11,2512891287591,,,power_on,,,"88.8976,-172.4918",,,False,,,,61e6ab72-12bf-4396-b9c8-54eed4ca33a8,,,,,14/01/2023 01:43:15,,4G,,,,,True,,,
,Android 11,,,,,,,1063227137640,,,,,,"-42.0726,168.5605",,,False,SIM switch,d01720fc-4a85-47e3-ac05-efd7ea2e0d82,Pixel 7,,,,,3G,,,,,,,,True,,11/26/2023 05:20:46,
WiFi,,,,,False,,Realme GT,,7635988541351,,,,Android 12,,7abd8745-96f3-44b6-8cc8-ab05c6bc5bc3,,False,,,,,,,SIM switch,,,"-7.1612,7.9536",,,,,,,,02/01/2023 10:50:38,
,,,,,,,,,,1697245501,,,Android 13,,,,True,app_launch,,,,True,4781472a-b882-44ca-b275-739e367d33bd,,,,,2G,2985041493147,,,Realme GT,,"32.1002,65.2752",,
2G,,iOS 15,,,True,,,9641542756073,,,,,,,c8f4e271-f596-43b0-b2ae-2daf1d4b3466,,False,SIM switch,,,,,,,,,,,,,OnePlus 10,,,"-8.6934,112.0074",2023-08-19T22:11:30.000Z,
,,,3G,"35.3422,-108.7184",,,,,,04/02/2023 10:12:07,,Android 13,,,,power_on,False,,,Xiaomi Mi 11,,,484415af-80a5-40d6-8e29-fec47fbcd9e2,,,,,,1670210908405,False,,,,,,
,,,,,False,,,,,,,Android 13,,,1d8a1921-d3ac-4e1f-b4c5-707fed167999,SIM switch,False,,,iPhone 14,,,,,,,,5G,2056691120729,,,,,"14.8832,135.0037",06/07/2023 17:46:29,
,Android 11,,WiFi,,True,,,6310111905306,,,,,,,c0bd5f56-e0f1-475f-8650-7c36c18d142c,location_change,False,,,Pixel 6,,,,,,1690524626,"2.7637,171.3493",,,,,,,,,
WiFi,,iOS 16,,"33.6228,-6.1392",,,,,6544721938408,,,,,,,app_launch,False,,,,5e49550b-33e0-4ad0-956d-348bfe5f178c,,,,,,,,,,,Vivo V25,False,,12/11/2023 16:19:50,
5G,,,,,,,,5836321651821,,,,,iOS 16,"-74.2864,-16.4670",,app_launch,False,,,,,True,57fa818f-b2f1-4ce3-928f-7af61953d4b5,,,2023-04-12T23:11:35.000Z,,,,,,iPhone 13,,,,
4G,,,,,,,Vivo V25,,5232369155545,,,iOS 15,,,,,False,app_launch,,,,True,,,,,"84.3066,-24.7354",,,,,,,,,1682600883
2G,,,,,,1338070359542,,,,,SIM switch,,Android 11,,68a6b3ea-d79a-40fa-8129-377a9dcd0a82,,False,,,Samsung Galaxy S22,,True,,,,,,,,,,,,,,2023-06-30 14:25:27
,,Android 12,,,,,Samsung Galaxy S22,,,,,,,,,,False,SIM switch,,,,,921c5c16-b863-463c-9490-daac308dc3ec,,,,"87.0022,6.5831",2G,3625684830167,False,,,,,2023-06-12T10:09:07.000Z,
,,,WiFi,,,,,,,,,,Android 13,,,SIM switch,False,,,,,True,498b9d37-7de6-448f-844c-59f7f08721a4,,,18/03/2023 22:27:44,,,4049328996711,,iPhone 14,,,"-5.0631,-21.3384",,
,,iOS 16,,,,,Xiaomi Mi 11,,,2023-10-05 04:05:21,,,,,,,False,power_on,3dde5614-a9f5-4de0-a04a-19695d0fd253,,,,,,,,,3G,6621851661020,False,,,,"82.2118,40.0256",,
,,,,,,,,,2517695659442,,,,Android 12,,,,False,,d9b267f2-9d44-45a4-89fa-235863d6b8de,,,,,power_on,,,"-22.6164,159.7714",2G,,,,Pixel 6,True,,,2023-12-23 03:13:29
,,,,,,1426529150600,,,,,,,iOS 15,"86.7591,-126.4526",,,False,,,,,True,b4ef5a70-9264-4574-a6be-afe15b3ac31e,location_change,4G,,,,,,Vivo V25,,,,,1694837579
3G,,iOS 16,,,,,,4309684555177,,,,,,"64.7656,20.4068",fcb3fe43-93ce-4f40-9c65-c15288698943,,False,,,Oppo F21,,,,,,,,,,,,,True,,29/12/2023 15:11:10,
,Android 13,,,,,,,,9107248730791,,,,,,,,False,location_change,,OnePlus 10,787d7dff-8cc9-4172-af1f-bd9e63cfc356,,,,,1684084785,,3G,,,,,True,"-87.1235,5.6288",,
,Android 11,,,"33.4775,-42.3669",,,,4641033213447,,,,,,,,,False,,,,,False,79e48515-584c-4306-8ddc-402f3baf7a93,SIM switch,2G,,,,,,,Samsung Galaxy S22,,,,2023-03-22T20:43:13.000Z
3G,iOS 16,,,,,,,,,,app_launch,,,,,,False,,cec4893a-b22f-4bfb-abae-bb94ecd75ebc,,,False,,,,,,,4705152742322,,,Realme GT,,"35.3469,86.9635",1676962382,
,iOS 15,,,,False,1736482888889,,,,,SIM switch,,,,,,False,,,Vivo V25,,,,,,22/11/2023 19:05:15,"-13.3823,18.8514",,,,,,,,,
,Android 12,,,,False,3663495126484,,,,,app_launch,,,,bc7f7a55-261e-4166-8f93-f5eb5de5cb3a,,False,,,,,,,,,10/31/2023 20:38:52,"65.4457,139.3627",4G,,,,iPhone 14,,,,
,,,5G,,True,,Pixel 6,,5341279844642,02/21/2023 04:01:44,location_change,iOS 15,,,684a3b1f-7151-43e9-8947-acfcf447b2ef,,False,,,,,,,,,,,,,,,,,"-76.6717,-31.5953",,
2G,,,,,,2427747656023,,,,,,,Android 11,,,,False,app_launch,,,311e0352-6c76-48d6-886f-03d96b278bfc,False,,,,,,,,,Samsung Galaxy S22,,,"44.4023,-79.4393",,2023-08-26T10:18:52.000Z
,,iOS 15,,,,7430980430580,Samsung Galaxy S22,,,,,,,,,,False,location_change,9b8b723e-856e-4077-bca1-3b34427f139e,,,,,,3G,,"46.1966,-55.4712",,,True,,,,,17/01/2023 16:34:57,
,,,,,,,,,,1694090709,SIM switch,,iOS 16,"0.2697,-124.1211",,,False,,,OnePlus 10,,,,,5G,,,,5083078521674,False,,,,,,
2G,,,,,True,8274517277177,,,,,app_launch,Android 13,,"-77.6951,-81.2834",,,False,,,,,,7a4390db-64f8-4252-a41c-19bbbcc3c86e,,,,,,,,iPhone 14,,,,,2023-06-08 13:46:05
,,Android 13,,,True,,,8268445619431,,,,,,,7819d12d-638d-47b9-9ccc-b7aa2bb42f67,app_launch,False,,,Oppo F21,,,,,,,"-27.9763,-118.1008",WiFi,,,,,,,,2023-06-17 05:36:17
,,Android 13,,"-84.9713,176.4822",,,,6711250552419,,,,,,,,,False,,,,d34c9206-b6a5-494f-8638-b022b84f0bbf,True,,SIM switch,3G,1684118970,,,,,iPhone 13,,,,,
,Android 11,,,,,6153902914042,,,,,,,,,,,False,app_launch,,,008c41c7-736f-46ba-a5b6-1cf012d2282a,,,,,,"6.0253,-94.3356",4G,,True,iPhone 14,,,,2023-11-05T20:46:55.000Z,
,,Android 11,,"-77.8705,-59.3186",False,,Xiaomi Mi 11,,,,,,,,07485d6b-5c33-4c34-bf20-0ef122b3c400,,False,,,,,,,location_change,,,,5G,6100958618983,,,,,,,2023-08-27T22:17:28.000Z
,,iOS 16,,,True,7910165038401,,,,,location_change,,,,,,False,,,,28977b96-11b6-4ab3-9c07-8b090e0d612b,,,,4G,2023-01-02 13:30:57,,,,,,iPhone 14,,"-45.8948,-77.5869",,
,Android 11,,,,,,Vivo V25,,,,,,,,,,False,location_change,,,0f766ab9-dabb-4780-938c-34eb79595841,,,,2G,,,,8264347659082,False,,,,,09/27/2023 08:29:28,
,,,2G,,,,,,,,power_on,,,,,,False,,,,,False,65042473-444e-4ac7-9094-5ad0a4ccc954,,,,"-1.4164,122.2313",,4870282726153,,Pixel 7,,,,,10/08/2023 04:38:02
5G,,Android 12,,,,,Xiaomi Mi 11,,2452187118098,,SIM switch,,,"86.0661,157.8531",,,False,,,,,,,,,10/05/2023 14:14:40,,,,,,,False,,,
4G,,iOS 15,,,False,,Pixel 6,,,,location_change,,,,,,False,,,,3678849c-2333-4795-907d-b24782acb463,,,,,,,,4177018568641,,,,,"-4.6570,41.3862",,31/10/2023 14:06:13
5G,,,,,,4841110849643,,,,,,,iOS 15,,,,False,,46d2c885-6c0b-4c98-b788-5cab760678a7,,,,,power_on,,,,,,,,Oppo F21,True,"56.8889,74.5558",,09/14/2023 02:03:09
4G,,,,,,,Pixel 6,9982955320860,,1690065173,,Android 12,,,,,True,,,,,False,5d43fa10-0a72-4d7d-bfda-db5e7df8b634,SIM switch,,,,,,,,,,"1.9976,178.0796",,
,iOS 16,,,,,,,3933516554665,,,,,,,,,False,,,,,,7eccc481-8541-4e98-b23a-12ae7d3edc01,location_change,3G,,,,,,,Xiaomi Mi 11,False,"-73.8524,62.1837",2023-06-28T22:48:25.000Z,
,,,,,,,Oppo F21,,,,,,iOS 15,,,,False,,,,,,e7ac9691-2135-4507-ac93-84373b376e1a,power_on,2G,,"51.2323,-156.6196",,6458181960615,True,,,,,,2023-07-25T03:37:24.000Z
,Android 12,,,,,,,,7033843278365,,,,,,,location_change,True,,9c34e0ca-fef6-490d-83d7-249a024f88ef,,,,,,2G,,"44.2366,85.6848",,,,,Oppo F21,True,,04/06/2023 19:37:33,
,,Android 11,,,,3539888576767,,,,,,,,"-27.5278,-54.9885",,,False,location_change,,,18e02b41-5251-481e-a767-b83c6e50058e,True,,,,,,4G,,,,iPhone 13,,,,2023-04-26 21:52:41
,,,5G,,,,,,6505199198646,,,Android 11,,,,,False,power_on,c9c01f36-d769-4a52-b00f-090b106afaa7,iPhone 14,,,,,,,"-44.0974,139.3003",,,False,,,,,16/10/2023 06:10:45,
,,,4G,,,9732623992026,,,,,,Android 13,,,,,False,,,Xiaomi Mi 11,,,19174ec1-0c97-4221-8bf2-de0fb51badcd,SIM switch,,,"66.8729,-118.4069",,,,,,False,,04/08/2023 14:25:25,
,,,4G,,,,,,,,,,,,,power_on,False,,,,537bde6a-68b5-473f-bdbb-c17bb4033e0b,False,,,,,"84.6542,-128.6932",,8254689566092,,Vivo V25,,,,1697413560,
,,,,,,9806420783118,,,,,SIM switch,,iOS 16,"42.8861,63.2552",,,False,,447c76cf-93cd-4b37-8c82-0e1c762fea07,,,,,,,,,2G,,,,,True,,2023-08-03T14:59:33.000Z,
,,Android 11,5G,"-84.4420,-66.9071",,,,1288314258245,,,,,,,,location_change,False,,,Xiaomi Mi 11,2869fadd-9810-438b-a9ad-c211617c14f2,,,,,11/17/2023 11:04:13,,,,,,,True,,,
,,,,,False,,,2232924357256,,,,,Android 11,,,,False,power_on,,,,,54502eee-befe-437e-a89d-742b04a5d93e,,WiFi,1692824911,"-87.1233,2.6453",,,,,OnePlus 10,,,,
4G,Android 11,,,,False,,iPhone 14,,,,,,,,,location_change,False,,ccdd2124-70b1-4312-b5e5-835f6385ff2f,,,,,,,2023-04-25 12:06:37,"-73.9342,62.5869",,8520622602684,,,,,,,
WiFi,,,,"87.8523,164.7737",,,,7285967974513,,,app_launch,,Android 13,,,,False,,d23d4ce6-aaf8-41a3-bc7e-c86e3029fda3,,,,,,,,,,,True,Realme GT,,,,,09/02/2023 07:32:44
,Android 12,,2G,"-85.4780,92.3127",,,,2352748289125,,,,,,,6a6962e2-d029-49c0-812a-3f00437159d1,,False,app_launch,,Oppo F21,,True,,,,1692434753,,,,,,,,,,
,Android 12,,,,False,,iPhone 13,,,07/01/2023 22:10:43,,,,,,,False,,,,,,4a262c6a-0c22-41e5-ac3c-7e49a53ef702,app_launch,,,,,9869649994213,,,,,"4.7193,176.8320",,
3G,,,,,True,8206379497097,Realme GT,,,,,iOS 15,,,,SIM switch,False,,35234cfa-00a3-4a5e-ad41-17c60697a40d,,,,,,,,,,,,,,,"-61.0915,41.7746",,2023-09-21 11:56:15
,,,4G,"-41.1170,-90.2361",True,,Vivo V25,,,,,,,,,,False,SIM switch,,,a632f995-37f0-4b59-bf2a-b63c26a7df8f,,,,,,,,3314529236766,,,,,,01/20/2023 06:15:34,
,,Android 12,,,,,,7205991640217,,25/08/2023 14:40:03,,,,,,,False,app_launch,,,,,,,5G,,,,,True,iPhone 14,,,"22.5152,-62.7073",,
,,,,,,9581005641180,Oppo F21,,,,,,Android 13,,,power_on,False,,,,,True,b062fd8d-4321-46a7-8159-67bc2e0c9c05,,,,,,,,,,,"17.4544,103.8953",2023-02-08T09:43:56.000Z,
,,iOS 16,,,,,,,1604261248276,1691901293,,,,,,app_launch,False,,0896fe9c-d8f1-46c5-a46d-e5009c67b71a,,,True,,,3G,,"64.7643,-159.6595",,,,iPhone 13,,,,,
2G,,,,,True,7489886761627,,,,07/06/2023 04:00:39,,,Android 13,"-5.3817,77.2989",,location_change,False,,,Samsung Galaxy S22,f036a3c6-d2e4-4f05-88f7-7aa0f1f42c63,,,,,,,,,,,,,,,
,,,4G,,True,7955673559401,,,,,,,iOS 15,"-43.5643,-145.7485",ed409bd5-756d-447f-965a-bde86e2daeaa,app_launch,False,,,,,,,,,,,,,,,Oppo F21,,,,2023-06-04T06:51:03.000Z
,,,5G,,,,Oppo F21,,,,,,iOS 15,"88.5254,-85.3576",,,False,app_launch,,,,True,04521699-dd34-40f4-928d-d156ba27a5b3,,,,,,8299603871157,,,,,,1703102392,
,,,,,,,Samsung Galaxy S22,,,,,,iOS 16,"53.2767,179.0343",429e9fda-78ff-470d-8de3-156cef14a41f,,False,SIM switch,,,,,,,2G,,,,3660819934983,,,,True,,2023-06-06 11:25:59,
,,Android 13,WiFi,"-56.3781,-83.5404",,,,,5633856022031,,,,,,,,False,SIM switch,476f292a-b78e-4f7f-83a5-4ae26fdd3bf5,Realme GT,,,,,,,,,,,,,False,,1683294188,
,,,5G,,False,,,,9496361300897,,,iOS 15,,"-83.8147,165.2381",,,False,,,,,,4e836cc7-e6c9-4d8e-99a6-a75fa1694020,SIM switch,,16/01/2023 18:39:55,,,,,OnePlus 10,,,,,
,,,,,,,,,,,,iOS 15,,,,,False,,,,,,430cab77-c26e-4076-bb4f-c8502be0624c,power_on,,1690682534,,5G,7558930233178,False,,Vivo V25,,"2.6743,-159.2447",,
,,iOS 16,,,,,,,,,,,,,020864ce-14d0-4431-89b9-588b62481424,app_launch,False,,,Pixel 7,,,,,WiFi,1697863649,"-44.6105,-6.7939",,8847772945020,,,,False,,,
,,,3G,,,,,4138642081046,,,SIM switch,,iOS 15,"-15.8952,159.8963",,,False,,,Realme GT,,True,25448c07-d303-466e-b042-60a04b0c2f4a,,,,,,,,,,,,15/02/2023 18:42:51,
,,,,,False,,,7534442926257,,,location_change,Android 13,,"-2.5495,62.5618",,,False,,,,,,7d45a3b7-375c-45d6-ab73-79658c74cf67,,,05/03/2023 14:09:50,,5G,,,,Vivo V25,,,,
4G,,,,,,1999022206447,,,,,,Android 12,,,,,False,,7f659646-3de8-404b-a523-1af0dd064dc5,,,,,app_launch,,,"89.0520,-133.2670",,,,,Vivo V25,True,,,2023-05-11T11:07:35.000Z
